Signal,GPIO MUX 1,Signal Type 1,Default Value 1,GPIO MUX 2,Signal Type 2,Default Value 2,GPIO MUX 3,Signal Type 3,Default Value 3,GPIO MUX 4,Signal Type 4,Default Value 4,GPIO MUX 5,Signal Type 5,Default Value 5,GPIO MUX 6,Signal Type 6,Default Value 6,GPIO MUX 7,Signal Type 7,Default Value 7,GPIO MUX 8,Signal Type 8,Default Value 8,GPIO MUX 9,Signal Type 9,Default Value 9,GPIO MUX 10,Signal Type 10,Default Value 10,GPIO MUX 11,Signal Type 11,Default Value 11,GPIO MUX 12,Signal Type 12,Default Value 12,GPIO MUX 13,Signal Type 13,Default Value 13,GPIO MUX 14,Signal Type 14,Default Value 14,GPIO MUX 15,Signal Type 15,Default Value 15,GPIO MUX 16,Signal Type 16,Default Value 16,GPIO MUX 17,Signal Type 17,Default Value 17,GPIO MUX 18,Signal Type 18,Default Value 18,GPIO MUX 19,Signal Type 19,Default Value 19,GPIO MUX 20,Signal Type 20,Default Value 20,GPIO MUX 21,Signal Type 21,Default Value 21,GPIO MUX 22,Signal Type 22,Default Value 22,GPIO MUX 23,Signal Type 23,Default Value 23,GPIO MUX 24,Signal Type 24,Default Value 24,GPIO MUX 25,Signal Type 25,Default Value 25,GPIO MUX 26,Signal Type 26,Default Value 26,GPIO MUX 27,Signal Type 27,Default Value 27,GPIO MUX 28,Signal Type 28,Default Value 28,GPIO MUX 29,Signal Type 29,Default Value 29,GPIO MUX 30,Signal Type 30,Default Value 30,GPIO MUX 31,Signal Type 31,Default Value 31,IO Buffer
DP3_24,MCPWM1B,I/O,,FSI5TXD0,I/O,,EPWM27B,O,,MCPWM8E,I/O,,EPWM30B,O,,SPI3POCI,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_25,MCPWM1C,I/O,,FSI5TXD1,I/O,,EPWM28A,O,,MCPWM8F,I/O,,EPWM30A,O,,SPI3CS0,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_26,MCPWM1D,I/O,,FSI5RXCLK,I/O,,EPWM28B,O,,MCPWM9A,I/O,,EPWM29B,O,,SPI3CS1,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_27,MCPWM1E,I/O,,FSI5RXD0,I/O,,EPWM29A,O,,MCPWM9B,I/O,,EPWM29A,O,,SPI3CS2,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_28,MCPWM1F,I/O,,FSI5RXD1,I/O,,EPWM29B,O,,MCPWM9C,I/O,,EPWM28B,O,,SPI3CS3,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_29,MIBSPI1CS3,I/O,,SPI8CLK,I/O,,I2C0SDA,I/O,,MCPWM9D,I/O,,EPWM28A,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_30,PSI5_0_TX,I/O,,SPI8PICO,I/O,,I2C0SCL,I/O,,MCPWM9E,I/O,,EPWM27B,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_31,PSI5_0_RX,I/O,,SPI8POCI,I/O,,I2C1SDA,I/O,,MCPWM9F,I/O,,EPWM27A,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP4_0,PSI5_1_TX,I/O,,SPI8CS0,I/O,,I2C1SCL,I/O,,MCPWM10A,I/O,,EPWM26B,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP4_1,PSI5_1_RX,I/O,,SPI8CS1,I/O,,I2C2SDA,I/O,,MCPWM10B,I/O,,EPWM26A,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
